reviews.text,reviews.rating,review_length,sentiment_polarity,exclamation_count,uppercase_word_count,user_review_count,sentiment_rating_mismatch,anomaly_score,is_anomaly
"The Type Cover provides a nice typing experience for the SP4. It is able to mimic the same experience provided by a notebook but it isn't quite there. Well, it's better than the keyboards built into cheap notebooks but not quite but there with the higher end notebooks. I do like that you can type at an angle or flat, I prefer typing at an angle. The keys feel nice and provide a firm, tactile feedback when clicking them in. They are also backlight and that turns on automatically when in a dim room. The Type Cover is a little flexible and you will notice some bounce when typing but it isn't bad, definitely better than a keyboard in a $400 Dell notebook.The trackpad could use some work. Microsoft made it bigger in the 4th iteration of the Type Cover along with covering it in glass but it still feels somewhat cramped. The trackpad is also noisy, really noisy. I don't use it when I'm in a meeting and instead touch the screen or use the Pen. But the Type Cover is protective, it can turn around completely, and it can be easily attached or removed via the magnetic connector on the bottom of the Surface. It works and is definitely the best solution on the market for the Surface Pro, just don't expect it to perform the same as the keyboard in the Dell XPS13 or HP Spectre x360.The fingerprint scanner is accurate and works like a charm. I just have to wrest my finger on the sensor and that's it. No swiping or any of that nonsense, it just works. I haven't had any problems with it rejecting my finger because it couldn't read it.Most people will be fine with the regular Type Cover and don't need the fingerprint scanner. Windows Hello, which uses your face to log in, works on every Surface Pro 4. Most people aren't going to benefit by also scanning their fingerprint as Windows Hello is accurate, fast, and secure. I have used my fingerprint scanner three times in the two months I've owned my Surface Pro 4 and that was only because I wasn't looking at my Surface when logging in.Save yourself the money and get the regular Type Cover. However, people with a Surface Pro 3 should definitely upgrade to this. Logging in with your fingerprint is faster, easier, and more secure than typing in your Windows PIN number every time and the new keyboard layout and trackpad are a definitely improvement over the Type Cover 3. Upgrading to this Type Cover will extend the life of your Surface Pro 3 making it easier to wait for the Surface Pro 5, maybe even the Pro 6.",5.0,454,0.2183489304812835,0,11,3,0.3908255347593582,-0.04546028970611293,-1
The fingerprint scanner works flawlessly... Would recommend this!!!,5.0,8,1.0,3,0,1,0.0,-0.0062771078256760315,-1
"It's not something they can do anything about and I have purchased the numeric keypad, but can never remember to use it. I guess I've adjusted to the keyboard. Thumbprint is sometimes temperamental.",5.0,33,0.0,0,2,16,0.5,-0.012030791793455453,-1
"I have a Surface Pro 3 and have loved using it, but the type cover always felt a little less than functional to me. It worked, but I always preferred typing on a full laptop or computer printer if it were anything more than a quick paragraph. Don't even get me started on the tracpad! It was too small and nowhere near sensitive enough. No more! This keyboard feels as good as one on a quality laptop would and it's a joy to type on it. The tracpad isn't even in the same class as the old one. It feels great, it responsive, and is large enough to use comfortably and without moving my hands from the keyboard. I don't see much need to upgrade from the Surface Pro 3 to the 4, but I definitely recommend upgrading the keyboard and pen! The fingerprint scanner is a nice touch and it works great. I've never had to rescan my finger to log in (coming from someone who cannot get phone fingerprint scanners to work ever). However, it's not really necessary. I was hoping that I could use it with a password manager so I could log in to websites with a fingerprint, but I haven't been able to figure that out yet. Whether to get the cover with the scanner or not is a personal choice. Regardless, I recommend either of the updated type covers!",5.0,235,0.24397893772893775,4,9,1,0.37801053113553107,-0.013799071949526787,-1
"I bought this keyboard solely because I liked how it felt in the store when I typed compared to the type cover I purchased with my Surface Pro 3 over a year ago. I'd spent time typing on this one in the store and thought I knew what to expect. Boy was I wrong! First, yes - the keyboard is exponentially more comfortable and feels somehow faster than the older type cover. Second, WOW the trackpad. This is, by far, the smoothest and most perfectly tuned trackpad I have ever used. The default sensitivity for both movement and tap-to-click is perfect. Third, the fingerprint ID is more useful than I'd expected. In addition to the Windows 10 functionality I already knew about, it also works as a login feature for my password manager and, I'm sure, much more that I haven't discovered yet. Finally, let's talk about (cringe) lapability. The keyboard's magnetic attachment to the screen feels stronger and the whole keyboard feels more rigid and solid than my older type cover. The end result is a device configuration that very closely mimics the stable feeling of a decent laptop. Overall, this keyboard made my Surface Pro 3 new again. In short, this upgrade for my Surface Pro 3 works perfectly and offers improvements I wasn't expecting. I'll be honest and say that I almost never use my old touch cover anymore - I just didn't like it. This, however, I will use. It's one of those things I didn't realize I needed until I got it. If you're a Surface Pro 3 owner and you're looking for a way to refresh that system and make it feel new again - this works well.",5.0,284,0.24350649350649353,1,18,1,0.3782467532467533,-0.02077486378776139,-1
"I've had this keyboard case for a day. I figured I'd review it now, as many reviews aren't up yet.Compared to the type cover that I bought with my Surface Pro 3, this one is a huge improvement. The keys feel so much more bouncy and the trackpad is a dream. I love the spacing of the keys on this keyboard, and it makes typing on it so much easier. I now have no desire to connect an external keyboard to my SP3.As an engineering student who uses MS Excel a lot, the function keys (F1, F2, etc.) are very important to me. In this keyboard, you can chose to toggle either the function keys or the extra keys, like the mute key and PrtScn button. It works like the caps lock key does, and it stays on even after shutting the computer off. This, believe it or not, is the number one reason why I bought this keyboard.The backlighting of the keyboard still has (about) the same number of dimness settings however, the transition between each is much more smooth and adds a very nice touch to the keyboard. I'm not going to say that the keys are evenly lit- the spacebar is not lit as much as the others- but it still feels very refined and works well. The backlighting is on the edge of the keys, as well as the individual letters. The trackpad and fingerprint reader does not have backlighting.The keyboard also feels a lot less flimsy than the last iteration, which is a plus. In fact, it's not really flimsy at all.SEE EDIT! The fingerprint reader works almost every time, but I'm still getting used to it. I plan to update this review soon, when I decide if it was worth the extra money- I'm on the fence about that. Setup for the feature was easy, and came after a quick update on my SP3 to get Windows Hello.Read more",,325,0.24,1,12,2,,-0.04535612911562115,-1
"Without the fanboy title, I am a huge Microsoft fan. I owned and used the Surface RT, Surface 2, Surface Pro 1-3. And I've used each touch/type cover and they just keep getting better. I thought the Type Cover 3 was awesome. One touch of the Type Cover 4 and the 3 became a distant memory.Microsoft always has simple but still nice packaging for their premium products. Funny, I always look forward to their tape they put on the package that you remove for easy opening of the package and so you don't have to rip it apart. This helps greatly if you like to keep your original packaging for keepsake or resell value.I am using a Surface Pro 3, Core i7 with 512GB drive. They released a firmware update the day I received the keyboard, so guessing it added the Windows Hello option to it. Once the firmware was complete, I connected the keyboard and it recognized it right away. It still has the same, magnetic fold so you can rest the cover against the Surface Pro 3 for more firmness when typing. I went into security settings and set up the fingerprint reader that comes with this Type Cover. It is similar to the setup on iOS and Android, where you will press and lift your finger several times to set it up. Once set up, I was ready to see what this cover brought to the game.I did a reboot and I was at the login screen. My first instinct was to enter my password/pin but hey, I have the fingerprint reader. I put my finger on the reader and wow, it was fast. Very fast! I was logging in before I knew it. The fingerprint reader is fantastic.SO, how does this keyboard feel You can immediately feel that this is an upgrade to the past covers. The keys are spaced a little wider apart without to provide easier typing.Read more",,324,0.2590228174603174,1,15,2,,-0.05639621367356573,-1
"Without the fanboy title, I am a huge Microsoft fan. I owned and used the Surface RT, Surface 2, Surface Pro 1-3. And I've used each touch/type cover and they just keep getting better. I thought the Type Cover 3 was awesome. One touch of the Type Cover 4 and the 3 became a distant memory.Microsoft always has simple but still nice packaging for their premium products. Funny, I always look forward to their tape they put on the package that you remove for easy opening of the package and so you don't have to rip it apart. This helps greatly if you like to keep your original packaging for keepsake or resell value.I am using a Surface Pro 3, Core i7 with 512GB drive. They released a firmware update the day I received the keyboard, so guessing it added the Windows Hello option to it. Once the firmware was complete, I connected the keyboard and it recognized it right away. It still has the same, magnetic fold so you can rest the cover against the Surface Pro 3 for more firmness when typing. I went into security settings and set up the fingerprint reader that comes with this Type Cover. It is similar to the setup on iOS and Android, where you will press and lift your finger several times to set it up. Once set up, I was ready to see what this cover brought to the game.I did a reboot and I was at the login screen. My first instinct was to enter my password/pin but hey, I have the fingerprint reader. I put my finger on the reader and wow, it was fast. Very fast! I was logging in before I knew it. The fingerprint reader is fantastic.SO, how does this keyboard feel You can immediately feel that this is an upgrade to the past covers. The keys are spaced a little wider apart without to provide easier typing.Read more",,324,0.2590228174603174,1,15,2,,-0.05639621367356573,-1
"I've had this keyboard case for a day. I figured I'd review it now, as many reviews aren't up yet.Compared to the type cover that I bought with my Surface Pro 3, this one is a huge improvement. The keys feel so much more bouncy and the trackpad is a dream. I love the spacing of the keys on this keyboard, and it makes typing on it so much easier. I now have no desire to connect an external keyboard to my SP3.As an engineering student who uses MS Excel a lot, the function keys (F1, F2, etc.) are very important to me. In this keyboard, you can chose to toggle either the function keys or the extra keys, like the mute key and PrtScn button. It works like the caps lock key does, and it stays on even after shutting the computer off. This, believe it or not, is the number one reason why I bought this keyboard.The backlighting of the keyboard still has (about) the same number of dimness settings however, the transition between each is much more smooth and adds a very nice touch to the keyboard. I'm not going to say that the keys are evenly lit- the spacebar is not lit as much as the others- but it still feels very refined and works well. The backlighting is on the edge of the keys, as well as the individual letters. The trackpad and fingerprint reader does not have backlighting.The keyboard also feels a lot less flimsy than the last iteration, which is a plus. In fact, it's not really flimsy at all.SEE EDIT! The fingerprint reader works almost every time, but I'm still getting used to it. I plan to update this review soon, when I decide if it was worth the extra money- I'm on the fence about that. Setup for the feature was easy, and came after a quick update on my SP3 to get Windows Hello.Read more",,325,0.24,1,12,2,,-0.04535612911562115,-1
"I should have known by the price this was too good to be true. Although the sound is pretty good for the price there is a MAJOR flaw that I simply cannot live with. One reviewer talked about this and I should have taken his review more seriously. Simply put, this speaker system does not remember what volume setting OR treble and bass settings you put it in EVERY TIME YOU SWITCH SOURCES. That means if you switch from Bluetooth to the input for example, the volume goes up to a default high volume and all the treble and bass settings have to be programmed AGAIN! You have to be kidding me! Add to that when I try to change one thing on the remote it does another. Clearly cheap infrared processor can't distinguish one infrared code from another at times.Unless you don't plan on using this with multiple sources then stay away. Sorry but this is one heck of a problem which clearly shows this company does not put enough resources in development and user experience.Back in the box to UPS!",,182,0.15046650717703347,3,13,2,,-0.025596569236613353,-1
